Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2007-11-27,MUNDRAPORT,EQ,440.0,770.0,1050.0,770.0,959.0,962.9,984.72,27294366,2687719053785000.0,,9859619,0.36119999999999997
2007-11-28,MUNDRAPORT,EQ,962.9,984.0,990.0,874.0,885.0,893.9,941.38,4581338,431276530164999.94,,1453278,0.3172
2007-11-29,MUNDRAPORT,EQ,893.9,909.0,914.75,841.0,887.0,884.2,888.09,5124121,455065846264999.94,,1069678,0.20879999999999999
2007-11-30,MUNDRAPORT,EQ,884.2,890.0,958.0,890.0,929.0,921.55,929.17,4609762,428325662830000.0,,1260913,0.2735
2007-12-03,MUNDRAPORT,EQ,921.55,939.75,995.0,922.0,980.0,969.3,965.65,2977470,287519974300000.0,,816123,0.2741
2007-12-04,MUNDRAPORT,EQ,969.3,985.0,1056.0,976.0,1049.0,1041.45,1015.39,4849250,492386736075000.0,,1537667,0.3171
2007-12-05,MUNDRAPORT,EQ,1041.45,1061.0,1099.5,1050.0,1084.0,1082.45,1082.79,2848209,308400973015000.0,,904260,0.3175
2007-12-06,MUNDRAPORT,EQ,1082.45,1089.0,1109.7,1051.0,1090.1,1081.3,1087.03,1749516,190177114020000.0,,825691,0.47200000000000003
2007-12-07,MUNDRAPORT,EQ,1081.3,1100.0,1134.0,1078.0,1100.0,1102.4,1106.57,2247904,248746530710000.0,,697763,0.3104
2007-12-10,MUNDRAPORT,EQ,1102.4,1110.0,1110.0,1061.1,1073.55,1075.4,1080.38,1012350,109372679359999.98,,417514,0.41240000000000004
2007-12-11,MUNDRAPORT,EQ,1075.4,1081.0,1089.0,1041.0,1046.0,1047.65,1067.8,810464,86541556460000.0,,415191,0.5123
2007-12-12,MUNDRAPORT,EQ,1047.65,1032.0,1065.0,1016.0,1036.9,1036.8,1043.92,744799,77751369165000.0,,363848,0.48850000000000005
2007-12-13,MUNDRAPORT,EQ,1036.8,1040.0,1150.0,1030.25,1131.15,1129.95,1109.09,3067687,340233907520000.0,,1040076,0.33899999999999997
2007-12-14,MUNDRAPORT,EQ,1129.95,1139.9,1140.0,1101.1,1107.0,1110.5,1119.55,1070737,119874627765000.02,,525239,0.4905
2007-12-17,MUNDRAPORT,EQ,1110.5,1140.0,1168.0,1021.5,1052.0,1044.25,1102.42,1404955,154884767715000.0,,670298,0.4771
2007-12-18,MUNDRAPORT,EQ,1044.25,1045.0,1109.9,1031.55,1085.0,1074.95,1077.84,1226984,132249513309999.98,,449420,0.3663
2007-12-19,MUNDRAPORT,EQ,1074.95,1091.0,1116.0,1046.3,1078.0,1066.9,1082.93,845666,91579757645000.0,,344171,0.40700000000000003
2007-12-20,MUNDRAPORT,EQ,1066.9,1083.5,1083.5,1051.0,1067.0,1060.2,1065.52,623288,66412706110000.0,,276356,0.4434
2007-12-24,MUNDRAPORT,EQ,1060.2,1095.0,1192.0,1085.25,1160.0,1156.8,1160.77,2060892,239221361310000.0,,807879,0.392
2007-12-26,MUNDRAPORT,EQ,1156.8,1175.0,1214.0,1148.0,1212.0,1199.9,1183.3,1467031,173593856540000.0,,469389,0.32
2007-12-27,MUNDRAPORT,EQ,1199.9,1215.0,1240.0,1204.0,1209.0,1211.65,1222.58,977495,119506465945000.0,,355431,0.3636
2007-12-28,MUNDRAPORT,EQ,1211.65,1189.4,1274.0,1175.0,1270.0,1249.1,1221.31,1164138,142177280540000.0,,503564,0.4326
2007-12-31,MUNDRAPORT,EQ,1249.1,1263.35,1295.0,1261.0,1268.0,1268.8,1277.64,737249,94194213815000.0,,316377,0.4291
2008-01-01,MUNDRAPORT,EQ,1268.8,1279.0,1319.0,1263.7,1308.0,1296.85,1285.72,491348,63173462100000.0,,172911,0.3519
2008-01-02,MUNDRAPORT,EQ,1296.85,1310.25,1324.0,1270.0,1300.15,1307.45,1302.15,703815,91647340425000.0,,221397,0.3146
2008-01-03,MUNDRAPORT,EQ,1307.45,1305.0,1314.7,1261.15,1267.15,1275.8,1289.24,505058,65114250075000.0,,217437,0.4305
2008-01-04,MUNDRAPORT,EQ,1275.8,1278.8,1294.8,1233.0,1239.9,1240.35,1256.03,550795,69181674340000.0,,230237,0.418
2008-01-07,MUNDRAPORT,EQ,1240.35,1240.0,1278.9,1215.0,1233.0,1227.25,1244.76,630963,78539769975000.0,,239404,0.37939999999999996
2008-01-08,MUNDRAPORT,EQ,1227.25,1240.0,1255.0,1185.0,1202.0,1204.8,1217.08,530499,64565951270000.01,,228866,0.4314
2008-01-09,MUNDRAPORT,EQ,1204.8,1200.0,1210.0,1151.0,1181.0,1180.25,1176.37,627507,73818313330000.0,,259280,0.4132
2008-01-10,MUNDRAPORT,EQ,1180.25,1185.0,1199.8,1110.0,1118.0,1121.55,1156.44,438806,50745246590000.0,,200150,0.4561
2008-01-11,MUNDRAPORT,EQ,1121.55,1128.0,1130.0,1063.0,1096.0,1085.85,1087.78,616938,67109272025000.0,,312121,0.5059
2008-01-14,MUNDRAPORT,EQ,1085.85,1082.4,1082.4,1031.1,1035.0,1035.15,1042.4,835916,87135710755000.0,,570824,0.6829000000000001
2008-01-15,MUNDRAPORT,EQ,1035.15,1045.6,1078.7,1036.05,1057.0,1049.55,1050.69,830493,87259337110000.0,,504259,0.6072
2008-01-16,MUNDRAPORT,EQ,1049.55,1046.0,1064.0,1000.0,1038.3,1030.4,1032.86,816188,84300609685000.0,,478517,0.5863
2008-01-17,MUNDRAPORT,EQ,1030.4,1050.0,1053.5,1011.0,1014.95,1020.9,1033.73,336003,34733490900000.0,,145194,0.43210000000000004
2008-01-18,MUNDRAPORT,EQ,1020.9,1010.0,1072.0,974.9,995.0,994.6,1022.57,676854,69213280915000.0,,278615,0.41159999999999997
2008-01-21,MUNDRAPORT,EQ,994.6,995.0,1005.0,795.7,853.0,825.05,880.77,788623,69459899854999.99,,474223,0.6013000000000001
2008-01-22,MUNDRAPORT,EQ,825.05,700.0,810.0,660.05,739.0,735.55,703.2,546161,38406113705000.0,,376194,0.6888
2008-01-23,MUNDRAPORT,EQ,735.55,760.0,881.9,760.0,862.2,857.0,818.67,535462,43836526980000.0,,283881,0.5302
2008-01-24,MUNDRAPORT,EQ,857.0,875.0,935.0,812.0,814.7,814.15,854.83,511017,43683319425000.0,,258346,0.5056
2008-01-25,MUNDRAPORT,EQ,814.15,820.0,883.0,820.0,866.0,865.7,858.33,404045,34680333860000.004,,178177,0.441
2008-01-28,MUNDRAPORT,EQ,865.7,835.0,835.0,783.2,822.0,820.8,804.38,467052,37568552380000.0,,241365,0.5168
2008-01-29,MUNDRAPORT,EQ,820.8,840.0,860.0,820.05,840.0,840.75,841.27,220070,18513823345000.0,,74141,0.3369
2008-01-30,MUNDRAPORT,EQ,840.75,849.8,864.0,822.25,834.0,830.45,833.82,286190,23863110660000.0,,165926,0.5798
2008-01-31,MUNDRAPORT,EQ,830.45,831.0,849.9,812.55,836.6,837.65,833.58,194300,16196555894999.998,,103890,0.5347
2008-02-01,MUNDRAPORT,EQ,837.65,831.65,852.3,820.0,826.0,825.35,828.09,204391,16925451805000.002,,115715,0.5661
2008-02-04,MUNDRAPORT,EQ,825.35,847.9,872.4,840.0,859.0,856.1,858.77,280230,24065208695000.0,,128195,0.4575
2008-02-05,MUNDRAPORT,EQ,856.1,856.0,857.0,830.0,834.65,834.3,842.06,162093,13649192019999.998,,96153,0.5932000000000001
2008-02-06,MUNDRAPORT,EQ,834.3,803.0,824.9,780.0,809.0,807.5,810.5,193260,15663794125000.0,,110565,0.5721
2009-04-16,MUNDRAPORT,EQ,399.7,385.3,415.15,370.25,378.1,380.2,392.61,610744,23978401995000.0,,184783,0.30260000000000004
2009-04-17,MUNDRAPORT,EQ,380.2,385.0,403.0,374.0,377.7,377.0,390.16,507751,19810316910000.0,,170045,0.33490000000000003
2009-04-20,MUNDRAPORT,EQ,377.0,379.0,389.0,376.0,379.5,378.8,382.49,262049,10023194230000.0,,112721,0.4302
2009-04-21,MUNDRAPORT,EQ,378.8,373.0,383.4,370.0,380.9,379.6,378.77,237316,8988813990000.0,,74643,0.3145
2009-04-22,MUNDRAPORT,EQ,379.6,382.45,400.0,381.25,387.25,386.8,390.38,624545,24380839355000.0,,153281,0.2454
2009-04-23,MUNDRAPORT,EQ,386.8,394.7,401.9,375.0,391.3,391.55,391.11,480133,18778261900000.0,,91917,0.19140000000000001
2009-04-24,MUNDRAPORT,EQ,391.55,392.2,419.7,391.0,401.0,403.5,408.99,1213967,49649680855000.0,,245179,0.20199999999999999
2009-04-27,MUNDRAPORT,EQ,403.5,402.65,411.9,387.5,390.0,389.7,400.68,536960,21515103865000.0,,114884,0.214
2009-04-28,MUNDRAPORT,EQ,389.7,392.0,395.3,365.55,368.75,369.5,381.2,259933,9908716000000.0,,87410,0.33630000000000004
2009-04-29,MUNDRAPORT,EQ,369.5,375.0,392.1,373.5,389.0,388.75,384.29,347406,13350360330000.0,,137170,0.3948
2009-05-04,MUNDRAPORT,EQ,388.75,392.0,408.9,391.35,405.1,405.3,403.1,469343,18919204410000.0,,184840,0.39380000000000004
2009-05-05,MUNDRAPORT,EQ,405.3,402.0,427.8,402.0,409.9,410.55,416.57,634433,26428725420000.0,,165133,0.26030000000000003
2008-02-05,MUNDRAPORT,EQ,856.1,856.0,857.0,830.0,834.65,834.3,842.06,162093,13649192019999.998,,96153,0.5932000000000001
2008-02-06,MUNDRAPORT,EQ,834.3,803.0,824.9,780.0,809.0,807.5,810.5,193260,15663794125000.0,,110565,0.5721
2009-04-16,MUNDRAPORT,EQ,399.7,385.3,415.15,370.25,378.1,380.2,392.61,610744,23978401995000.0,,184783,0.30260000000000004
2009-04-17,MUNDRAPORT,EQ,380.2,385.0,403.0,374.0,377.7,377.0,390.16,507751,19810316910000.0,,170045,0.33490000000000003
2009-04-20,MUNDRAPORT,EQ,377.0,379.0,389.0,376.0,379.5,378.8,382.49,262049,10023194230000.0,,112721,0.4302
2009-04-21,MUNDRAPORT,EQ,378.8,373.0,383.4,370.0,380.9,379.6,378.77,237316,8988813990000.0,,74643,0.3145
